ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-05,69.18592266,68.24701276306675,70.09299115806505,69.18592266,69.18592266,0.0,0.0,0.0,0.0,0.0,0.0,69.18592266
2023-02-05,69.33164185679641,68.36520204132715,70.31120072017134,69.33164185679641,69.33164185679641,0.0,0.0,0.0,0.0,0.0,0.0,69.33164185679641
2023-03-05,69.46325918707328,68.49822060150746,70.42171769780174,69.46325918707328,69.46325918707328,0.0,0.0,0.0,0.0,0.0,0.0,69.46325918707328
2023-04-05,69.60897837500376,68.67543303217845,70.51106350046963,69.60897837500376,69.60897837500376,0.0,0.0,0.0,0.0,0.0,0.0,69.60897837500376
2023-05-05,69.74925392221125,68.74701873998089,70.66358604821875,69.74925392221125,69.74925392221125,0.0,0.0,0.0,0.0,0.0,0.0,69.74925392221125
2023-06-05,69.89420532536569,68.85647679283572,70.84638605761107,69.89420532536569,69.89420532536569,0.0,0.0,0.0,0.0,0.0,0.0,69.89420532536569
2023-07-05,70.03552817451865,69.06348309524054,70.99945882543463,70.03552817451865,70.03552817451865,0.0,0.0,0.0,0.0,0.0,0.0,70.03552817451865
2023-08-05,70.1869398747763,69.24803405588116,71.16434056613997,70.1869398747763,70.1869398747763,0.0,0.0,0.0,0.0,0.0,0.0,70.1869398747763
2023-09-05,70.4408259922645,69.5318773514755,71.51012392115605,70.4408259922645,70.4408259922645,0.0,0.0,0.0,0.0,0.0,0.0,70.4408259922645
2023-10-05,70.68652225148524,69.67308576238655,71.72601645636685,70.68652225148524,70.68652225148524,0.0,0.0,0.0,0.0,0.0,0.0,70.68652225148524
2023-11-05,70.94040838601337,69.98316126322028,71.92428797544636,70.94040838601337,70.94040838601337,0.0,0.0,0.0,0.0,0.0,0.0,70.94040838601337
2023-12-05,71.18610464523412,70.27024905959864,72.15324553895475,71.18610464523412,71.18610464523412,0.0,0.0,0.0,0.0,0.0,0.0,71.18610464523412
2023-12-31,71.39904140322545,70.42636645480883,72.33824640355928,71.38980162834402,71.40671829627033,0.0,0.0,0.0,0.0,0.0,0.0,71.39904140322545
